Shot,Section,Timecode,Narration (s),Clip length (s),On-screen title,Narration,Image prompt,Video prompt,Video negative prompt
1,Cold Open,0:00–0:14,14,10,,"Every doctor in history has made you the same promise. Take this, and you'll feel better. For most of history, that promise was a gamble. The blade, the powder, the tonic on the shelf.","The healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a long dark generic historical frock coat) standing behind the counter, the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, wearing a plain cream hospital gown) standing in front of it. Action: the healer leans forward holding out a small glass bottle with a friendly smile. Environment: a dim 19th-century apothecary shop with tall wooden shelves of glass bottles, brass scales and a worn counter. Camera: Eye-level medium shot. Lighting: warm amber oil-lamp light from one side, deep soft shadows. Mood: Ominously friendly. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-in from medium to medium close-up across the apothecary counter. The tall healer leans forward in two puppet-like steps and extends the glass bottle toward the patient. The patient blinks and leans back slightly. The oil-lamp flame flickers and dust motes drift through the light. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
2,Cold Open,0:14–0:22,8,10,,"Sometimes the cure was the most dangerous thing in the room. Tonight, you're the patient. You trust the treatment completely.","The whole apothecary with the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, wearing a plain cream hospital gown) small in the corner and one bottle glowing green on the top shelf. Action: the glowing bottle casts a long skull-shaped shadow across the wall. Environment: a dim 19th-century apothecary shop with tall wooden shelves of glass bottles, brass scales and a worn counter. Composition: glowing bottle upper right, patient lower left. Camera: Wide establishing shot, slightly low angle. Lighting: warm amber oil-lamp light from one side, deep soft shadows. Mood: Ominous. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow tilt up from the small patient in the corner to the bottle glowing green on the top shelf. The green glow pulses softly, and the skull-shaped shadow stretches slowly across the wall. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
3,Cold Open,0:22–0:31,9,10,,And you're about to find out exactly what it does to you. What Every Miracle Cure in History Did to Your Body.,"Close-up of the face of the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, wearing a plain cream hospital gown). Action: the patient's eyes widen as green light from the bottle washes over their face; leave the upper third dark for the main title overlay. Environment: a dim 19th-century apothecary shop with tall wooden shelves of glass bottles, brass scales and a worn counter. Composition: face centered, green glow from below. Camera: Slow push-in to close-up. Lighting: warm amber oil-lamp light from one side, deep soft shadows. Mood: Dread. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-in to a close-up of the patient's face. The eyes widen in two quick steps as the green under-light grows brighter and pulses like a heartbeat. The upper third of the frame stays dark for the title. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
4,1. Trepanation,0:31–0:39,8,10,TREPANATION,"Trepanation. You're a warrior in the Andes mountains around the year 1450. A sling stone cracked your skull during a raid,","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic) standing on a stone agricultural terrace. Action: the warrior looks out over the valley, holding a woven sling. Environment: terraced green mountainsides in the high Andes around 1450, stone village below, snowy peaks, morning mist. Camera: Wide establishing shot. Lighting: crisp early-morning mountain sunlight. Mood: Epic, calm. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow aerial drift to the right across misty Andean terraces. The warrior's tunic flutters in the wind. Near the end, a small stone arcs in from the left toward the warrior's head and a chalk-white cartoon impact star pops. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
5,1. Trepanation,0:39–0:42,3,5,,"and ever since, the headaches have been blinding.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic) sitting on a woven mat. Action: the warrior clutches the side of the head, eyes squeezed shut, surrounded by chalk-white squiggle pain lines. Environment: the interior of a stone-walled hut in the high Andes around 1450, with woven textiles, clay pots and snowy peaks visible through the doorway. Camera: Eye-level medium close-up. Lighting: warm firelight from a small hearth mixed with cool mountain daylight from the doorway. Mood: Miserable. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Subtle handheld shake. The warrior rocks forward, clutching their head, while chalk-white squiggle pain lines throb and pulse around it. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
6,1. Trepanation,0:42–0:52,10,10,,The healer hands you a cup of fermented corn beer and lays out a sharp bronze blade. The plan? Cut a hole in your head.,"The healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a woven striped poncho and a feathered headband) and the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic) seated facing each other. Action: the healer offers a clay cup of cloudy corn beer to the warrior. Environment: the interior of a stone-walled hut in the high Andes around 1450, with woven textiles, clay pots and snowy peaks visible through the doorway. Camera: Eye-level two-shot. Lighting: warm firelight from a small hearth mixed with cool mountain daylight from the doorway. Mood: Ritualistic, calm. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Static two-shot with slight parallax. The healer hands over the clay cup and the warrior takes a sip. The healer then unrolls a woven cloth to reveal the bronze blade, which catches the firelight. The warrior's eyes pop wide and a sweat drop slides down. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
7,1. Trepanation,0:52–0:57,5,5,,He peels back your scalp and scrapes at the bone in slow circles.,"The healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a woven striped poncho and a feathered headband) kneeling over the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic), who lies on a woven mat. Action: the healer's body blocks the view of the procedure; chalk-white circular motion lines float above the head. Environment: the interior of a stone-walled hut in the high Andes around 1450, with woven textiles, clay pots and snowy peaks visible through the doorway. Composition: healer's back in the foreground hides all detail; patient's feet visible. Camera: Eye-level medium shot from behind the healer. Lighting: warm firelight from a small hearth mixed with cool mountain daylight from the doorway. Mood: Tense, restrained. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Static shot from behind the healer. The healer's shoulders move in a slow circular rhythm, chalk circle motion lines rotate above the patient's head, and the patient's feet twitch once. Firelight flickers. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
8,1. Trepanation,0:57–1:06,9,10,,"Oddly, it's more pressure than pain, because the skull itself has very few nerves. The sound, though, travels straight through your jaw.","A simplified cross-section of a scalp and skull, with nerves drawn as mustard threads in the scalp and almost none in the bone. Action: the nerve threads glow softly while the bone layer stays plain. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Educational. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The diagram draws itself. The skull and scalp layers wipe in, then the mustard nerve threads light up one by one in the scalp. Chalk vibration ripples then pulse outward from the jaw area. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
9,1. Trepanation,1:06–1:14,8,10,,"Twenty minutes later, there's a coin-sized window in your skull, and the fragments pressing on your brain are lifted out.","A simplified skull outline with small bone fragments pressing on a cream line-drawn brain. Action: the fragments float upward and away while the brain outline relaxes. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Relief. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The bone fragments lift slowly and drift up out of frame. The brain outline relaxes, easing and shrinking slightly, and a soft mustard glow blooms. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
10,1. Trepanation,1:14–1:22,8,10,,Here's the twist. This one might actually help. Relieving pressure on the brain is roughly what a modern neurosurgeon would do.,"The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic) sitting up with a clean cloth bandage wrapped around the head. Action: the warrior gives a small surprised smile and touches the bandage. Environment: the interior of a stone-walled hut in the high Andes around 1450, with woven textiles, clay pots and snowy peaks visible through the doorway. Camera: Eye-level medium shot. Lighting: warm firelight from a small hearth mixed with cool mountain daylight from the doorway. Mood: Hopeful, surprised. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Gentle push-in. The bandaged warrior sits up, touches the bandage, and a small surprised smile grows. A tiny cut-paper sparkle twinkles. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
11,1. Trepanation,1:22–1:35,13,10,,"The real danger comes after. With no antibiotics anywhere on Earth, an infection in that open wound means fever, a stiff neck, and confusion as it spreads across the surface of your brain.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 15th-century Andean warrior in a woven red-and-mustard geometric tunic) lying rigid on the mat. Action: flushed cheeks, blue sweat drops and stiff chalk lines along the neck. Environment: the interior of a stone-walled hut in the high Andes around 1450, with woven textiles, clay pots and snowy peaks visible through the doorway. Camera: High-angle medium shot. Lighting: warm firelight from a small hearth mixed with cool mountain daylight from the doorway. Mood: Feverish. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow high-angle crane down. The warrior's cheeks flush redder in stages, sweat drops fall, and stiff chalk lines tighten along the neck. The fire dims to embers and the shadows lengthen. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
12,1. Trepanation,1:35–1:47,12,10,,"But archaeologists studying Inca skulls found smooth bone growing back around many of the holes, proof the patients lived for years. Survival may have reached around 75 to 80 percent.","A flat 2D cut-paper archaeologist in khaki with a magnifying glass, and a clean museum-specimen skull with a smooth round healed opening on a padded table. Action: the archaeologist leans in, eyebrows raised. Environment: a quiet modern museum lab with specimen drawers and soft white tables. Camera: Eye-level medium shot. Lighting: soft diffuse lab lighting. Mood: Curious, discovery. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The archaeologist leans in and slides the magnifying glass across the skull, and the lens enlarges the smooth healed rim. The archaeologist's eyebrows lift in surprise. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
